Date,Last Price
05/03/2019,7576.36
04/03/2019,7577.57
01/03/2019,7595.35
28/02/2019,7532.53
27/02/2019,7554.51
26/02/2019,7549.3
25/02/2019,7554.46
22/02/2019,7527.55
21/02/2019,7459.71
20/02/2019,7489.07
19/02/2019,7486.77
15/02/2019,7472.41
14/02/2019,7426.96
13/02/2019,7420.38
12/02/2019,7414.62
11/02/2019,7307.91
08/02/2019,7298.2
07/02/2019,7288.35
06/02/2019,7375.28
05/02/2019,7402.08
04/02/2019,7347.54
01/02/2019,7263.87
31/01/2019,7281.74
30/01/2019,7183.08
29/01/2019,7028.29
28/01/2019,7085.69
25/01/2019,7164.86
24/01/2019,7073.46
23/01/2019,7025.77
22/01/2019,7020.36
18/01/2019,7157.23
17/01/2019,7084.46
16/01/2019,7034.69
15/01/2019,7023.83
14/01/2019,6905.92
11/01/2019,6971.48
10/01/2019,6986.07
09/01/2019,6957.08
08/01/2019,6897
07/01/2019,6823.47
04/01/2019,6738.86
03/01/2019,6463.5
02/01/2019,6665.94
31/12/2018,6635.28
28/12/2018,6584.52
27/12/2018,6579.49
26/12/2018,6554.36
24/12/2018,6192.92
21/12/2018,6333
20/12/2018,6528.41
19/12/2018,6636.83
18/12/2018,6783.91
17/12/2018,6753.73
14/12/2018,6910.67
13/12/2018,7070.33
12/12/2018,7098.31
11/12/2018,7031.83
10/12/2018,7020.52
07/12/2018,6969.25
06/12/2018,7188.26
04/12/2018,7158.43
03/12/2018,7441.51
30/11/2018,7330.54
29/11/2018,7273.08
28/11/2018,7291.59
27/11/2018,7082.7
26/11/2018,7081.85
23/11/2018,6938.98
21/11/2018,6972.25
20/11/2018,6908.82
19/11/2018,7028.48
16/11/2018,7247.87
15/11/2018,7259.03
14/11/2018,7136.39
13/11/2018,7200.88
12/11/2018,7200.87
09/11/2018,7406.9
08/11/2018,7530.89
07/11/2018,7570.75
06/11/2018,7375.96
05/11/2018,7328.85
02/11/2018,7356.99
01/11/2018,7434.06
31/10/2018,7305.9
30/10/2018,7161.65
29/10/2018,7050.29
26/10/2018,7167.21
25/10/2018,7318.34
24/10/2018,7108.4
23/10/2018,7437.54
22/10/2018,7468.63
19/10/2018,7449.03
18/10/2018,7485.14
17/10/2018,7642.7
16/10/2018,7645.49
15/10/2018,7430.74
12/10/2018,7496.89
11/10/2018,7329.06
10/10/2018,7422.05
09/10/2018,7738.02
08/10/2018,7735.95
05/10/2018,7788.45
04/10/2018,7879.51
03/10/2018,8025.09
02/10/2018,7999.55
01/10/2018,8037.3
28/09/2018,8046.35
27/09/2018,8041.97
26/09/2018,7990.37
25/09/2018,8007.47
24/09/2018,7993.25
21/09/2018,7986.96
20/09/2018,8028.23
19/09/2018,7950.04
18/09/2018,7956.11
17/09/2018,7895.79
14/09/2018,8010.04
13/09/2018,8013.71
12/09/2018,7954.23
