0.236843651,-0.792738985,-0.79279166,-2.648569918,-1.032947007,-2.648283243,-0.932649109,-2.643911817,-0.932523498,-2.655911625,-1.106452095,-2.656058593,-1.046982469,-2.645320206,-1.047154605
0.253612806,-0.436617583,-0.79279166,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.267691582,-0.493752325,-0.436726736,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.265014264,-0.735881596,-0.493852417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.294438645,-0.167862412,-0.735943288,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.290612039,-0.711474522,-0.168014188,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.271243927,-0.381424312,-0.711540085,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.259176404,-0.536464705,-0.381542219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.078503129,-0.618838581,-0.475827323,0.003185563,0.505836541,-0.005906838,-0.026424172,0.012345056,-1.269473349,0.000363762,-0.032008226,-0.002567443,0.11234926,0.00333584,0.319204435
0.103238938,-0.267432181,-0.618918835,0.00607209,0.247617167,0.004522552,0.574226192,0.007622849,-0.245170623,-0.000771176,-0.068356797,-0.005083147,-0.079771328,0.003605065,0.417421722
0.150699302,0.215162243,-0.267568166,0.012737603,0.27231306,0.013753919,0.207433489,0.011734474,1.516914865,0.000588173,0.142324826,-0.007743339,-0.332520558,0.009019265,0.698783944
0.171686866,-0.347032526,0.214949722,0.01582611,0.387546056,0.012345056,-1.269473349,0.019247283,3.005221826,0.003329651,0.521501397,-0.007767348,-0.1227404,0.014525759,0.51729406
0.166802393,-0.689008919,-0.347155886,0.013417177,0.225203939,0.007622849,-0.245170623,0.019119228,-2.040077406,0.005397466,0.564331567,-0.00355775,0.116547862,0.014381316,0.04343292
0.153128479,-0.502350271,-0.689078045,0.009846442,-0.10216412,0.011734474,1.516914865,0.007987089,-0.693579691,0.004593764,0.280897744,-0.001335644,-0.232240577,0.0104767,-0.118519652
0.119407328,-0.076613236,-0.502449,0.006496637,-0.35245314,0.019247283,3.005221826,-0.005966104,0.382463922,0.003752648,0.051674917,0.001526134,0.045112199,0.005937229,-0.184870559
0.120739458,-0.764448967,-0.076779484,0.003514637,-0.36733227,0.019119228,-2.040077406,-0.011680793,0.862868042,0.003609866,-0.033889963,0.00333584,0.319204435,0.003876956,-0.302039957
0.127321743,-0.652953014,-0.764506129,-0.000352256,-0.09317298,0.007987089,-0.693579691,-0.008533979,-2.095297493,0.003509104,-0.031320015,0.003605065,0.417421722,0.003416044,-0.338137935
0.121287981,-0.664601845,-0.653027858,-0.004411172,-0.081528723,-0.005966104,0.382463922,-0.002858788,-0.633097209,0.004302944,-0.110985004,0.009019265,0.698783944,-0.000274006,-0.091449155
